Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
140 0 0 1.4202 0.366823 0.00334434 0.00338909 4.61904e+07 1.92725e+08 8.71634e+07 1.59277e+07 0 1.57684e+08 0 1.92725e+08 1.57684e+08 8.71634e+07 1.59277e+07 0.00135318 0.00283711 -0.000646597 0.00271051 0.0359436
149 0 1 1.66629 0.471998 0.0035152 0.00398409 5.551e+07 2.31611e+08 1.0475e+08 1.91414e+07 0 1.895e+08 0 2.31611e+08 1.895e+08 1.0475e+08 1.91414e+07 0.0014224 0.00019631 -0.00169357 0.00146932 0.0327858
142 0 2 1.4637 0.63538 0.0029353 0.00405111 6.68607e+07 2.78971e+08 1.26169e+08 2.30554e+07 0 2.28249e+08 0 2.78971e+08 2.28249e+08 1.26169e+08 2.30554e+07 0.00119113 0.00229986 -0.00129645 0.00163581 0.0313604
140 1 0 1.4202 0.366823 0.00334434 0.00338909 4.61904e+07 1.92725e+08 8.71634e+07 1.59277e+07 0 1.57684e+08 0 1.92725e+08 1.57684e+08 8.71634e+07 1.59277e+07 0.00135318 0.00283711 -0.000646597 0.00271051 0.0359436
139 1 1 1.40314 0.0978819 0.00379585 0.00264766 4.76746e+07 1.98918e+08 8.99641e+07 1.64395e+07 0 1.62751e+08 0 1.98918e+08 1.62751e+08 8.99641e+07 1.64395e+07 0.00107391 0.00307853 -0.002865 0.00242811 0.0398297
151 1 2 1.52206 0.193391 0.00385298 0.00280905 1.24566e+07 5.19742e+07 2.35062e+07 4.29538e+06 0 4.25243e+07 0 5.19742e+07 4.25243e+07 2.35062e+07 4.29538e+06 0.00440589 -0.00025276 -0.00190963 0.00654844 0.0368232
141 2 0 1.22969 0.744365 0.00250794 0.00416284 5.96809e+07 2.49014e+08 1.12621e+08 2.05796e+07 0 2.03738e+08 0 2.49014e+08 2.03738e+08 1.12621e+08 2.05796e+07 0.00113231 -0.000281856 -2.507e-05 0.00147207 0.0311852
128 2 1 1.22098 0.492426 0.00283215 0.00347132 1.83557e+07 7.65874e+07 3.4638e+07 6.32954e+06 0 6.26624e+07 0 7.65874e+07 6.26624e+07 3.4638e+07 6.32954e+06 0.00299186 0.000946338 -0.00193535 0.00527117 0.0365919
142 2 2 1.4637 0.63538 0.0029353 0.00405111 6.68607e+07 2.78971e+08 1.26169e+08 2.30554e+07 0 2.28249e+08 0 2.78971e+08 2.28249e+08 1.26169e+08 2.30554e+07 0.00119113 0.00229986 -0.00129645 0.00163581 0.0313604
128 3 0 1.22098 0.492426 0.00283215 0.00347132 1.83557e+07 7.65874e+07 3.4638e+07 6.32954e+06 0 6.26624e+07 0 7.65874e+07 6.26624e+07 3.4638e+07 6.32954e+06 0.00299186 0.000946338 -0.00193535 0.00527117 0.0365919
126 3 1 1.16934 0.243124 0.00295904 0.00234467 3.03442e+07 1.26609e+08 5.72609e+07 1.04635e+07 0 1.03589e+08 0 1.26609e+08 1.03589e+08 5.72609e+07 1.04635e+07 -0.00368609 0.000286789 -0.00532196 0.00273962 0.0439156
140 3 2 1.4202 0.366823 0.00334434 0.00338909 4.61904e+07 1.92725e+08 8.71634e+07 1.59277e+07 0 1.57684e+08 0 1.92725e+08 1.57684e+08 8.71634e+07 1.59277e+07 0.00135318 0.00283711 -0.000646597 0.00271051 0.0359436
149 4 0 1.66629 0.471998 0.0035152 0.00398409 5.551e+07 2.31611e+08 1.0475e+08 1.91414e+07 0 1.895e+08 0 2.31611e+08 1.895e+08 1.0475e+08 1.91414e+07 0.0014224 0.00019631 -0.00169357 0.00146932 0.0327858
140 4 1 1.4202 0.366823 0.00334434 0.00338909 4.61904e+07 1.92725e+08 8.71634e+07 1.59277e+07 0 1.57684e+08 0 1.92725e+08 1.57684e+08 8.71634e+07 1.59277e+07 0.00135318 0.00283711 -0.000646597 0.00271051 0.0359436
152 4 2 1.64053 0.289453 0.00404071 0.00344837 1.65814e+07 6.91846e+07 3.12899e+07 5.71773e+06 0 5.66055e+07 0 6.91846e+07 5.66055e+07 3.12899e+07 5.71773e+06 0.00353076 0.000983926 -0.00396957 0.00586025 0.0347997
142 5 0 1.4637 0.63538 0.0029353 0.00405111 6.68607e+07 2.78971e+08 1.26169e+08 2.30554e+07 0 2.28249e+08 0 2.78971e+08 2.28249e+08 1.26169e+08 2.30554e+07 0.00119113 0.00229986 -0.00129645 0.00163581 0.0313604
