Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
205 0 0 1.6323 0.424808 0.00378174 0.00177182 1.82185e+07 7.60153e+07 3.43792e+07 6.28226e+06 0 6.21943e+07 0 7.60153e+07 6.21943e+07 3.43792e+07 6.28226e+06 0.00250079 0.000253744 0.00174187 0.00508053 0.0260531
214 0 1 1.82939 0.310366 0.00431983 0.000560106 1.19529e+07 4.98723e+07 2.25556e+07 4.12168e+06 0 4.08046e+07 0 4.98723e+07 4.08046e+07 2.25556e+07 4.12168e+06 0.00571528 -0.00257101 0.00374609 0.00791711 0.0257054
211 0 2 1.86869 0.530433 0.0044995 0.00188623 2.05001e+07 8.5535e+07 3.86847e+07 7.06901e+06 0 6.99832e+07 0 8.5535e+07 6.99832e+07 3.86847e+07 7.06901e+06 0.00281594 -0.00256709 -0.00118277 0.00345223 0.0237752
202 1 0 1.65051 0.646444 0.00418242 0.00243715 7.47472e+07 3.11876e+08 1.41051e+08 2.57749e+07 0 2.55172e+08 0 3.11876e+08 2.55172e+08 1.41051e+08 2.57749e+07 0.000757322 -0.000521849 0.00160609 0.000945287 0.0234449
205 1 1 1.6323 0.424808 0.00378174 0.00177182 1.82185e+07 7.60153e+07 3.43792e+07 6.28226e+06 0 6.21943e+07 0 7.60153e+07 6.21943e+07 3.43792e+07 6.28226e+06 0.00250079 0.000253744 0.00174187 0.00508053 0.0260531
211 1 2 1.86869 0.530433 0.0044995 0.00188623 2.05001e+07 8.5535e+07 3.86847e+07 7.06901e+06 0 6.99832e+07 0 8.5535e+07 6.99832e+07 3.86847e+07 7.06901e+06 0.00281594 -0.00256709 -0.00118277 0.00345223 0.0237752
186 2 0 1.44023 0.77134 0.00404431 0.00275382 5.2116e+07 2.17449e+08 9.83452e+07 1.7971e+07 0 1.77913e+08 0 2.17449e+08 1.77913e+08 9.83452e+07 1.7971e+07 -5.80807e-05 0.000733451 -0.000317122 0.00244107 0.0233778
202 2 1 1.65051 0.646444 0.00418242 0.00243715 7.47472e+07 3.11876e+08 1.41051e+08 2.57749e+07 0 2.55172e+08 0 3.11876e+08 2.55172e+08 1.41051e+08 2.57749e+07 0.000757322 -0.000521849 0.00160609 0.000945287 0.0234449
201 2 2 1.68111 0.869421 0.00464282 0.00303663 3.01083e+07 1.25624e+08 5.68156e+07 1.03822e+07 0 1.02783e+08 0 1.25624e+08 1.02783e+08 5.68156e+07 1.03822e+07 0.00129813 -0.000735096 0.00330537 0.00468602 0.0208789
186 3 0 1.44023 0.77134 0.00404431 0.00275382 5.2116e+07 2.17449e+08 9.83452e+07 1.7971e+07 0 1.77913e+08 0 2.17449e+08 1.77913e+08 9.83452e+07 1.7971e+07 -5.80807e-05 0.000733451 -0.000317122 0.00244107 0.0233778
191 3 1 1.39725 0.535516 0.00354128 0.00189991 3.0416e+07 1.26908e+08 5.73964e+07 1.04883e+07 0 1.03834e+08 0 1.26908e+08 1.03834e+08 5.73964e+07 1.04883e+07 0.00116087 0.00425569 0.0043823 0.00389145 0.0273924
202 3 2 1.65051 0.646444 0.00418242 0.00243715 7.47472e+07 3.11876e+08 1.41051e+08 2.57749e+07 0 2.55172e+08 0 3.11876e+08 2.55172e+08 1.41051e+08 2.57749e+07 0.000757322 -0.000521849 0.00160609 0.000945287 0.0234449
201 4 0 1.68111 0.869421 0.00464282 0.00303663 3.01083e+07 1.25624e+08 5.68156e+07 1.03822e+07 0 1.02783e+08 0 1.25624e+08 1.02783e+08 5.68156e+07 1.03822e+07 0.00129813 -0.000735096 0.00330537 0.00468602 0.0208789
212 4 1 1.89986 0.751795 0.00468817 0.00240676 4.27356e+07 1.78311e+08 8.0644e+07 1.47364e+07 0 1.45891e+08 0 1.78311e+08 1.45891e+08 8.0644e+07 1.47364e+07 0.00197316 -0.00196046 0.00221288 0.00188829 0.0215654
200 4 2 1.91063 0.975082 0.00564903 0.0033599 1.0199e+07 4.25543e+07 1.92459e+07 3.51688e+06 0 3.48172e+07 0 4.25543e+07 3.48172e+07 1.92459e+07 3.51688e+06 0.00444976 -0.000811857 -0.000850678 0.00769665 0.0196988
177 5 0 1.1956 0.707007 0.00314701 0.00217074 5.98507e+06 2.49722e+07 1.12941e+07 2.06382e+06 0 2.04318e+07 0 2.49722e+07 2.04318e+07 1.12941e+07 2.06382e+06 0.00724096 0.0017326 0.000898941 0.00630843 0.0269948
179 5 1 1.10831 0.459356 0.00241112 0.000950947 1.66041e+07 6.92792e+07 3.13327e+07 5.72556e+06 0 5.6683e+07 0 6.92792e+07 5.6683e+07 3.13327e+07 5.72556e+06 0.00500375 -0.000913282 0.00144089 0.00399295 0.0343231
191 5 2 1.39725 0.535516 0.00354128 0.00189991 3.0416e+07 1.26908e+08 5.73964e+07 1.04883e+07 0 1.03834e+08 0 1.26908e+08 1.03834e+08 5.73964e+07 1.04883e+07 0.00116087 0.00425569 0.0043823 0.00389145 0.0273924
171 6 0 1.2606 0.951782 0.00367624 0.00389183 7.03322e+06 2.93455e+07 1.3272e+07 2.42525e+06 0 2.401e+07 0 2.93455e+07 2.401e+07 1.3272e+07 2.42525e+06 0.00769263 0.00700739 0.0071844 0.0080883 0.0220616
177 6 1 1.1956 0.707007 0.00314701 0.00217074 5.98507e+06 2.49722e+07 1.12941e+07 2.06382e+06 0 2.04318e+07 0 2.49722e+07 2.04318e+07 1.12941e+07 2.06382e+06 0.00724096 0.0017326 0.000898941 0.00630843 0.0269948
186 6 2 1.44023 0.77134 0.00404431 0.00275382 5.2116e+07 2.17449e+08 9.83452e+07 1.7971e+07 0 1.77913e+08 0 2.17449e+08 1.77913e+08 9.83452e+07 1.7971e+07 -5.80807e-05 0.000733451 -0.000317122 0.00244107 0.0233778
166 7 0 0.946375 0.661604 0.00205535 0.0020193 3.95144e+07 1.6487e+08 7.45654e+07 1.36257e+07 0 1.34894e+08 0 1.6487e+08 1.34894e+08 7.45654e+07 1.36257e+07 0.00169645 0.000320514 5.58429e-05 0.0026562 0.0316243
179 7 1 1.10831 0.459356 0.00241112 0.000950947 1.66041e+07 6.92792e+07 3.13327e+07 5.72556e+06 0 5.6683e+07 0 6.92792e+07 5.6683e+07 3.13327e+07 5.72556e+06 0.00500375 -0.000913282 0.00144089 0.00399295 0.0343231
177 7 2 1.1956 0.707007 0.00314701 0.00217074 5.98507e+06 2.49722e+07 1.12941e+07 2.06382e+06 0 2.04318e+07 0 2.49722e+07 2.04318e+07 1.12941e+07 2.06382e+06 0.00724096 0.0017326 0.000898941 0.00630843 0.0269948
171 8 0 1.2606 0.951782 0.00367624 0.00389183 7.03322e+06 2.93455e+07 1.3272e+07 2.42525e+06 0 2.401e+07 0 2.93455e+07 2.401e+07 1.3272e+07 2.42525e+06 0.00769263 0.00700739 0.0071844 0.0080883 0.0220616
163 8 1 1.0207 0.901313 0.00254051 0.00273234 3.55641e+07 1.48388e+08 6.71111e+07 1.22635e+07 0 1.21409e+08 0 1.48388e+08 1.21409e+08 6.71111e+07 1.22635e+07 0.0022936 0.000889368 0.0013769 0.00128279 0.0248874
177 8 2 1.1956 0.707007 0.00314701 0.00217074 5.98507e+06 2.49722e+07 1.12941e+07 2.06382e+06 0 2.04318e+07 0 2.49722e+07 2.04318e+07 1.12941e+07 2.06382e+06 0.00724096 0.0017326 0.000898941 0.00630843 0.0269948
185 9 0 1.47902 0.982053 0.00445961 0.00374443 1.10179e+07 4.59713e+07 2.07913e+07 3.79928e+06 0 3.76129e+07 0 4.59713e+07 3.76129e+07 2.07913e+07 3.79928e+06 0.00307165 -0.00240496 0.00239347 0.00785107 0.0203993
171 9 1 1.2606 0.951782 0.00367624 0.00389183 7.03322e+06 2.93455e+07 1.3272e+07 2.42525e+06 0 2.401e+07 0 2.93455e+07 2.401e+07 1.3272e+07 2.42525e+06 0.00769263 0.00700739 0.0071844 0.0080883 0.0220616
186 9 2 1.44023 0.77134 0.00404431 0.00275382 5.2116e+07 2.17449e+08 9.83452e+07 1.7971e+07 0 1.77913e+08 0 2.17449e+08 1.77913e+08 9.83452e+07 1.7971e+07 -5.80807e-05 0.000733451 -0.000317122 0.00244107 0.0233778
201 10 0 1.68111 0.869421 0.00464282 0.00303663 3.01083e+07 1.25624e+08 5.68156e+07 1.03822e+07 0 1.02783e+08 0 1.25624e+08 1.02783e+08 5.68156e+07 1.03822e+07 0.00129813 -0.000735096 0.00330537 0.00468602 0.0208789
185 10 1 1.47902 0.982053 0.00445961 0.00374443 1.10179e+07 4.59713e+07 2.07913e+07 3.79928e+06 0 3.76129e+07 0 4.59713e+07 3.76129e+07 2.07913e+07 3.79928e+06 0.00307165 -0.00240496 0.00239347 0.00785107 0.0203993
186 10 2 1.44023 0.77134 0.00404431 0.00275382 5.2116e+07 2.17449e+08 9.83452e+07 1.7971e+07 0 1.77913e+08 0 2.17449e+08 1.77913e+08 9.83452e+07 1.7971e+07 -5.80807e-05 0.000733451 -0.000317122 0.00244107 0.0233778
184 11 0 1.65196 1.10094 0.00482501 0.00394748 4.03447e+07 1.68335e+08 7.61323e+07 1.3912e+07 0 1.37729e+08 0 1.68335e+08 1.37729e+08 7.61323e+07 1.3912e+07 0.00185145 -0.00279601 -0.00176847 0.00243412 0.0186525
170 11 1 1.37992 1.18895 0.00425332 0.00498653 5.64011e+07 2.35329e+08 1.06431e+08 1.94486e+07 0 1.92542e+08 0 2.35329e+08 1.92542e+08 1.06431e+08 1.94486e+07 -0.00028527 -0.00414224 -0.00435498 0.00219967 0.0183391
185 11 2 1.47902 0.982053 0.00445961 0.00374443 1.10179e+07 4.59713e+07 2.07913e+07 3.79928e+06 0 3.76129e+07 0 4.59713e+07 3.76129e+07 2.07913e+07 3.79928e+06 0.00307165 -0.00240496 0.00239347 0.00785107 0.0203993
148 12 0 0.849964 1.09082 0.0023363 0.00416778 9.83715e+06 4.10446e+07 1.85631e+07 3.39212e+06 0 3.3582e+07 0 4.10446e+07 3.3582e+07 1.85631e+07 3.39212e+06 0.00270973 -0.00500226 0.000148288 0.0114484 0.0223572
157 12 1 0.931638 1.34946 0.00287613 0.00544349 3.69254e+07 1.54068e+08 6.96799e+07 1.27329e+07 0 1.26056e+08 0 1.54068e+08 1.26056e+08 6.96799e+07 1.27329e+07 0.00219774 0.000187878 -0.000913652 0.00271612 0.0177693
139 12 2 0.66996 1.25615 0.00218376 0.00518844 4.66711e+07 1.94731e+08 8.80705e+07 1.60935e+07 0 1.59326e+08 0 1.94731e+08 1.59326e+08 8.80705e+07 1.60935e+07 0.0013758 0.000731984 0.00199768 0.00241381 0.0201425
170 13 0 1.37992 1.18895 0.00425332 0.00498653 5.64011e+07 2.35329e+08 1.06431e+08 1.94486e+07 0 1.92542e+08 0 2.35329e+08 1.92542e+08 1.06431e+08 1.94486e+07 -0.00028527 -0.00414224 -0.00435498 0.00219967 0.0183391
155 13 1 1.10494 1.14616 0.00366759 0.00489634 1.31532e+06 5.48808e+06 2.48208e+06 453560 0 4.49025e+06 0 5.48808e+06 4.49025e+06 2.48208e+06 453560 0.00563176 0.0034524 -0.00262569 0.0064483 0.0200074
171 13 2 1.2606 0.951782 0.00367624 0.00389183 7.03322e+06 2.93455e+07 1.3272e+07 2.42525e+06 0 2.401e+07 0 2.93455e+07 2.401e+07 1.3272e+07 2.42525e+06 0.00769263 0.00700739 0.0071844 0.0080883 0.0220616
183 14 0 1.3959 1.41592 0.00378691 0.00549491 6.76654e+07 2.82328e+08 1.27688e+08 2.33329e+07 0 2.30996e+08 0 2.82328e+08 2.30996e+08 1.27688e+08 2.33329e+07 0.00109214 -0.00320496 -0.00186181 0.00180603 0.01597
182 14 1 1.61158 1.34318 0.00433867 0.00484893 1.92284e+07 8.02288e+07 3.62848e+07 6.63048e+06 0 6.56417e+07 0 8.02288e+07 6.56417e+07 3.62848e+07 6.63048e+06 0.00281941 0.00272242 0.00106703 0.00531876 0.0165067
199 14 2 1.51784 1.59383 0.00403528 0.00612782 1.33144e+06 5.55531e+06 2.51248e+06 459117 0 4.54526e+06 0 5.55531e+06 4.54526e+06 2.51248e+06 459117 0.0048373 0.00174351 0.000368194 0.00674079 0.0145131
152 15 0 0.772502 0.847656 0.00179941 0.00263047 2.70631e+07 1.12918e+08 5.10693e+07 9.3321e+06 0 9.23878e+07 0 1.12918e+08 9.23878e+07 5.10693e+07 9.3321e+06 0.00326845 0.00190329 0.0023632 0.00218296 0.0285006
151 15 1 0.698011 0.610985 0.00155839 0.00181996 3.43103e+07 1.43157e+08 6.47451e+07 1.18311e+07 0 1.17128e+08 0 1.43157e+08 1.17128e+08 6.47451e+07 1.18311e+07 0.00130927 -0.00193702 0.000844382 0.00376582 0.0370336
166 15 2 0.946375 0.661604 0.00205535 0.0020193 3.95144e+07 1.6487e+08 7.45654e+07 1.36257e+07 0 1.34894e+08 0 1.6487e+08 1.34894e+08 7.45654e+07 1.36257e+07 0.00169645 0.000320514 5.58429e-05 0.0026562 0.0316243
202 16 0 1.65051 0.646444 0.00418242 0.00243715 7.47472e+07 3.11876e+08 1.41051e+08 2.57749e+07 0 2.55172e+08 0 3.11876e+08 2.55172e+08 1.41051e+08 2.57749e+07 0.000757322 -0.000521849 0.00160609 0.000945287 0.0234449
212 16 1 1.89986 0.751795 0.00468817 0.00240676 4.27356e+07 1.78311e+08 8.0644e+07 1.47364e+07 0 1.45891e+08 0 1.78311e+08 1.45891e+08 8.0644e+07 1.47364e+07 0.00197316 -0.00196046 0.00221288 0.00188829 0.0215654
201 16 2 1.68111 0.869421 0.00464282 0.00303663 3.01083e+07 1.25624e+08 5.68156e+07 1.03822e+07 0 1.02783e+08 0 1.25624e+08 1.02783e+08 5.68156e+07 1.03822e+07 0.00129813 -0.000735096 0.00330537 0.00468602 0.0208789
164 17 0 0.735701 0.210428 0.00120455 0.000871313 6.58317e+07 2.74677e+08 1.24227e+08 2.27006e+07 0 2.24736e+08 0 2.74677e+08 2.24736e+08 1.24227e+08 2.27006e+07 0.000185452 0.000882797 0.00288021 0.00258583 0.0566487
168 17 1 0.8 -0.000210692 -1.76532e-27 2.60616e-26 1.96953e+06 8.21769e+06 3.71659e+06 679148 0 6.72356e+06 0 8.21769e+06 6.72356e+06 3.71659e+06 679148 1.04568e-05 9.32417e-06 0.00947993 0.0084531 0.071273
178 17 2 0.956875 0.224598 0.00160242 0.000657326 2.98393e+07 1.24502e+08 5.6308e+07 1.02894e+07 0 1.01865e+08 0 1.24502e+08 1.01865e+08 5.6308e+07 1.02894e+07 0.00217738 -0.00578316 0.00185018 0.00392676 0.0475296
165 18 0 0.862084 0.432747 0.00167287 0.00141527 3.84735e+07 1.60527e+08 7.26012e+07 1.32667e+07 0 1.3134e+08 0 1.60527e+08 1.3134e+08 7.26012e+07 1.32667e+07 0.00216225 0.00121179 0.000747241 0.00156845 0.0412139
164 18 1 0.735701 0.210428 0.00120455 0.000871313 6.58317e+07 2.74677e+08 1.24227e+08 2.27006e+07 0 2.24736e+08 0 2.74677e+08 2.24736e+08 1.24227e+08 2.27006e+07 0.000185452 0.000882797 0.00288021 0.00258583 0.0566487
178 18 2 0.956875 0.224598 0.00160242 0.000657326 2.98393e+07 1.24502e+08 5.6308e+07 1.02894e+07 0 1.01865e+08 0 1.24502e+08 1.01865e+08 5.6308e+07 1.02894e+07 0.00217738 -0.00578316 0.00185018 0.00392676 0.0475296
150 19 0 0.645475 0.401511 0.00134154 0.00133644 7.16761e+07 2.99062e+08 1.35256e+08 2.47159e+07 0 2.44687e+08 0 2.99062e+08 2.44687e+08 1.35256e+08 2.47159e+07 0.000555319 -0.00229388 0.000758437 0.00191181 0.0474251
149 19 1 0.5131 0.226721 0.000967228 0.0010574 1.174e+07 4.89839e+07 2.21538e+07 4.04826e+06 0 4.00778e+07 0 4.89839e+07 4.00778e+07 2.21538e+07 4.04826e+06 0.00508136 -0.000919364 0.00210833 0.00436005 0.0609481
164 19 2 0.735701 0.210428 0.00120455 0.000871313 6.58317e+07 2.74677e+08 1.24227e+08 2.27006e+07 0 2.24736e+08 0 2.74677e+08 2.24736e+08 1.24227e+08 2.27006e+07 0.000185452 0.000882797 0.00288021 0.00258583 0.0566487
192 20 0 1.2809 0.377235 0.00283513 0.000854937 3.58807e+07 1.49709e+08 6.77085e+07 1.23727e+07 0 1.22489e+08 0 1.49709e+08 1.22489e+08 6.77085e+07 1.23727e+07 0.001969 0.00302929 0.0028877 0.00279267 0.0322431
