Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
65 0 0 -0.2 4.15214e-24 -4.9572e-27 3.03031e-26 2.51747e+07 1.05039e+08 4.75057e+07 8.68092e+06 0 8.59411e+07 0 1.05039e+08 8.59411e+07 4.75057e+07 8.68092e+06 0.000379767 0.000350737 -0.000226386 0.00453357 0.0994325
54 0 1 2.49704e-17 4.29204e-24 -8.19646e-28 3.86356e-26 5.63135e+07 2.34963e+08 1.06266e+08 1.94185e+07 0 1.92243e+08 0 2.34963e+08 1.92243e+08 1.06266e+08 1.94185e+07 -0.000237752 2.55521e-05 0.000739529 0.00299676 0.0999991
64 0 2 -0.0856396 0.247547 -8.29663e-05 0.000882631 4.11873e+07 1.71851e+08 7.77223e+07 1.42025e+07 0 1.40605e+08 0 1.71851e+08 1.40605e+08 7.77223e+07 1.42025e+07 0.00136465 -0.00286361 -0.00101998 0.00315243 0.07861
89 1 0 -1.2571 1.00836 -0.00371037 0.00311883 7.6189e+06 3.17892e+07 1.43772e+07 2.62721e+06 0 2.60093e+07 0 3.17892e+07 2.60093e+07 1.43772e+07 2.62721e+06 0.00505765 -0.000697211 0.00120408 0.00836407 0.0437902
95 1 1 -1.07536 0.835944 -0.00318114 0.00270542 4.03305e+07 1.68276e+08 7.61055e+07 1.39071e+07 0 1.3768e+08 0 1.68276e+08 1.3768e+08 7.61055e+07 1.39071e+07 0.00187038 0.00361098 0.00142736 0.0027837 0.0461222
88 1 2 -1.00233 1.08463 -0.00287614 0.00371114 4.1972e+07 1.75124e+08 7.9203e+07 1.44731e+07 0 1.43284e+08 0 1.75124e+08 1.43284e+08 7.9203e+07 1.44731e+07 0.00141503 0.0024223 0.000810593 0.00264178 0.0417158
102 2 0 -1.17318 0.347633 -0.00301286 0.000470059 1.58967e+07 6.63274e+07 2.99977e+07 5.4816e+06 0 5.42679e+07 0 6.63274e+07 5.42679e+07 2.99977e+07 5.4816e+06 0.00307695 0.000946073 -0.00367301 0.00544624 0.0575145
101 2 1 -1.22705 0.105011 -0.00184521 -0.000751079 2.93323e+07 1.22387e+08 5.53515e+07 1.01146e+07 0 1.00135e+08 0 1.22387e+08 1.00135e+08 5.53515e+07 1.01146e+07 0.00254459 0.0038268 -0.00787743 0.00340424 0.0622059
98 2 2 -0.986767 0.193224 -0.00204332 0.000448798 6.36364e+07 2.65517e+08 1.20085e+08 2.19436e+07 0 2.17241e+08 0 2.65517e+08 2.17241e+08 1.20085e+08 2.19436e+07 0.000696315 0.0022358 -0.00502301 0.00146467 0.0679014
98 3 0 -0.986767 0.193224 -0.00204332 0.000448798 6.36364e+07 2.65517e+08 1.20085e+08 2.19436e+07 0 2.17241e+08 0 2.65517e+08 2.17241e+08 1.20085e+08 2.19436e+07 0.000696315 0.0022358 -0.00502301 0.00146467 0.0679014
96 3 1 -1 2.31972e-24 -1.06061e-26 3.3208e-26 5.3195e+07 2.21952e+08 1.00381e+08 1.83431e+07 0 1.81597e+08 0 2.21952e+08 1.81597e+08 1.00381e+08 1.83431e+07 0.00210784 0.00528812 -0.0172067 0.00199845 0.0782318
