Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
34 0 0 -0.858708 0.244788 -0.0472168 0.0246037 1.8565e+06 7.7461e+06 3.5033e+06 640173 0 6.33771e+06 0 7.7461e+06 6.33771e+06 3.5033e+06 640173 -0.00676279 -0.0112847 -0.121661 0.0646017 0.0551386
33 0 1 -1 6.65799e-26 7.11102e-27 1.64059e-26 742959 3.09993e+06 1.402e+06 256193 0 2.53631e+06 0 3.09993e+06 2.53631e+06 1.402e+06 256193 0.110653 0.138 -0.404912 0.0711461 0.0720123
30 0 2 -0.714286 2.23351e-25 -1.2053e-26 4.98388e-26 913990 3.81354e+06 1.72474e+06 315169 0 3.12017e+06 0 3.81354e+06 3.12017e+06 1.72474e+06 315169 1.33048e-25 6.27581e-25 -0.228631 0.108394 0.0715933
34 1 0 -0.858708 0.244788 -0.0472168 0.0246037 1.8565e+06 7.7461e+06 3.5033e+06 640173 0 6.33771e+06 0 7.7461e+06 6.33771e+06 3.5033e+06 640173 -0.00676279 -0.0112847 -0.121661 0.0646017 0.0551386
36 1 1 -1.11371 0.264766 -0.0677863 0.0269983 186511 778201 351955 64314.1 0 636710 0 778201 636710 351955 64314.1 0.153171 0.0103764 -0.0687452 0.163524 0.0557701
33 1 2 -1 6.65799e-26 7.11102e-27 1.64059e-26 742959 3.09993e+06 1.402e+06 256193 0 2.53631e+06 0 3.09993e+06 2.53631e+06 1.402e+06 256193 0.110653 0.138 -0.404912 0.0711461 0.0720123
31 2 0 -0.635914 0.375241 -0.0408047 0.0464289 503378 2.1003e+06 949897 173579 0 1.71843e+06 0 2.1003e+06 1.71843e+06 949897 173579 0.100845 -0.0876861 -0.00991666 0.157381 0.0474295
34 2 1 -0.858708 0.244788 -0.0472168 0.0246037 1.8565e+06 7.7461e+06 3.5033e+06 640173 0 6.33771e+06 0 7.7461e+06 6.33771e+06 3.5033e+06 640173 -0.00676279 -0.0112847 -0.121661 0.0646017 0.0551386
30 2 2 -0.714286 2.23351e-25 -1.2053e-26 4.98388e-26 913990 3.81354e+06 1.72474e+06 315169 0 3.12017e+06 0 3.81354e+06 3.12017e+06 1.72474e+06 315169 1.33048e-25 6.27581e-25 -0.228631 0.108394 0.0715933
31 3 0 -0.635914 0.375241 -0.0408047 0.0464289 503378 2.1003e+06 949897 173579 0 1.71843e+06 0 2.1003e+06 1.71843e+06 949897 173579 0.100845 -0.0876861 -0.00991666 0.157381 0.0474295
35 3 1 -1.01139 0.502794 -0.0568537 0.0506322 1.20798e+06 5.04018e+06 2.27951e+06 416544 0 4.12378e+06 0 5.04018e+06 4.12378e+06 2.27951e+06 416544 0.0277756 -0.0489949 0.0407434 0.0756515 0.0462866
34 3 2 -0.858708 0.244788 -0.0472168 0.0246037 1.8565e+06 7.7461e+06 3.5033e+06 640173 0 6.33771e+06 0 7.7461e+06 6.33771e+06 3.5033e+06 640173 -0.00676279 -0.0112847 -0.121661 0.0646017 0.0551386
35 4 0 -1.01139 0.502794 -0.0568537 0.0506322 1.20798e+06 5.04018e+06 2.27951e+06 416544 0 4.12378e+06 0 5.04018e+06 4.12378e+06 2.27951e+06 416544 0.0277756 -0.0489949 0.0407434 0.0756515 0.0462866
36 4 1 -1.11371 0.264766 -0.0677863 0.0269983 186511 778201 351955 64314.1 0 636710 0 778201 636710 351955 64314.1 0.153171 0.0103764 -0.0687452 0.163524 0.0557701
