SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	0.01	0.05	1	0.0152848	0.265782
2	0.01	0.05	1	0.01372	0.244295
3	0.01	0.05	1	0.00499139	0.81275
4	0.008	0.05	1	0.0018264	0.392873
5	0.008	0.05	1	0.000154215	0.427995
6	0.008	0.05	1	0.000993806	0.57388
7	0.006	0.05	1	0.0334571	0.703751
8	0.006	0.05	1	0.0308855	0.760211
9	0.006	0.05	1	0.0382235	0.771313
10	0.004	0.05	1	0.110662	1.04973
11	0.004	0.05	1	0.0847026	0.958391
12	0.004	0.05	1	0.112257	1.18123
13	0.002	0.05	1	0.143347	1.38836
14	0.002	0.05	1	0.136569	1.48131
15	0.002	0.05	1	0.135425	1.35194
