SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	0.8	0.2	1	0.438023	0.0451243
2	0.8	0.2	1	0.392735	0.0860699
3	0.8	0.2	1	0.38736	0.56367
4	0.8	0.1	1	0.208779	0.659082
5	0.8	0.1	1	0.197989	0.975819
6	0.8	0.1	1	0.220998	0.681247
7	0.8	0.0	1	0.083888	1.16202
8	0.8	0.0	1	0.135998	0.327305
9	0.8	0.0	1	0.106715	0.623282
10	0.6	0.2	1	0.227349	0.88539
11	0.6	0.2	1	0.259628	0.167236
12	0.6	0.2	1	0.28047	0.201077
13	0.6	0.1	1	0.126579	0.690025
14	0.6	0.1	1	0.145391	0.567376
15	0.6	0.1	1	0.134286	0.813357
16	0.6	0.0	1	0.0261477	1.96569
17	0.6	0.0	1	0.0582065	0.888844
18	0.6	0.0	1	0.0565368	0.741857
19	0.4	0.2	1	0.0762113	1.915
20	0.4	0.2	1	0.176251	0.564246
21	0.4	0.2	1	0.217593	0.474071
22	0.4	0.1	1	0.0673218	0.920009
23	0.4	0.1	1	0.0929495	1.18089
24	0.4	0.1	1	0.0948361	0.809034
25	0.4	0.0	1	0.041393	1.48741
26	0.4	0.0	1	0.0225231	1.24702
27	0.4	0.0	1	0.00900812	1.7978
101	0.6	0.1	1	0.156754	0.753645
102	0.6	0.1	1	0.118146	0.948463
103	0.6	0.1	1	0.129733	0.61688
104	0.6	0.1	1	0.141988	0.780031
105	0.6	0.1	1	0.118723	0.467811
106	0.6	0.1	1	0.11677	0.859114
107	0.6	0.1	1	0.172997	0.506099
108	0.6	0.1	1	0.1695	0.25598
201	0.6	0.1	1	0.113614	0.906194
202	0.6	0.1	1	0.0916781	1.24538
203	0.6	0.1	1	0.119531	1.01358
