SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	0.02	1.	1.	3.34733	6.15414
2	0.02	1.	1.	3.34043	6.15075
3	0.02	1.	1.	3.34651	6.1906
4	0.02	1.	1.	3.34108	6.18356
5	0.04	1.	1.	1.3504	3.76353
6	0.04	1.	1.	1.33495	3.71671
7	0.04	1.	1.	1.30838	3.73508
8	0.04	1.	1.	1.40659	3.92613
9	0.06	1.	1.	0.825407	3.48201
10	0.06	1.	1.	0.665168	2.88582
11	0.06	1.	1.	0.826294	3.12384
12	0.06	1.	1.	0.773925	3.14838
13	0.08	1.	1.	0.360286	2.83032
14	0.08	1.	1.	0.38324	2.77987
15	0.08	1.	1.	0.374096	2.59625
16	0.08	1.	1.	0.500919	2.99801
17	0.1	1.	1.	0.356651	3.00454
18	0.1	1.	1.	0.246697	2.60151
19	0.1	1.	1.	0.194256	2.81165
20	0.1	1.	1.	0.192009	2.78088
