Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
62 0 0 -0.913641 0.166809 -0.00146719 0.000461583 5.86039e+07 2.4452e+08 1.10588e+08 2.02082e+07 0 2.00062e+08 0 2.4452e+08 2.00062e+08 1.10588e+08 2.02082e+07 0.0015054 0.00161638 -0.00621764 0.00201888 0.110811
63 0 1 -0.8 1.59591e-24 -5.7992e-27 3.47332e-26 3.47589e+07 1.45028e+08 6.55915e+07 1.19858e+07 0 1.1866e+08 0 1.45028e+08 1.1866e+08 6.55915e+07 1.19858e+07 2.41321e-27 5.05823e-25 -0.0098815 0.00374551 0.126284
59 0 2 -0.714758 0.196164 -0.00120508 0.000673092 1.97649e+07 8.24675e+07 3.72973e+07 6.8155e+06 0 6.74734e+07 0 8.24675e+07 6.74734e+07 3.72973e+07 6.8155e+06 0.00326569 -0.000799303 -0.00417225 0.00402401 0.110532
62 1 0 -0.913641 0.166809 -0.00146719 0.000461583 5.86039e+07 2.4452e+08 1.10588e+08 2.02082e+07 0 2.00062e+08 0 2.4452e+08 2.00062e+08 1.10588e+08 2.02082e+07 0.0015054 0.00161638 -0.00621764 0.00201888 0.110811
61 1 1 -1.11033 0.228357 -0.00227865 -0.000312412 1.21865e+07 5.0847e+07 2.29964e+07 4.20223e+06 0 4.16021e+07 0 5.0847e+07 4.16021e+07 2.29964e+07 4.20223e+06 0.00397773 0.00780955 -0.00520644 0.0040777 0.105347
64 1 2 -1 5.6652e-25 7.63893e-27 9.70913e-27 4.94179e+07 2.06192e+08 9.32538e+07 1.70407e+07 0 1.68702e+08 0 2.06192e+08 1.68702e+08 9.32538e+07 1.70407e+07 -1.93426e-25 1.12965e-24 -0.0121529 0.00267856 0.121765
60 2 0 -0.6 1.63082e-24 -2.59603e-27 3.30078e-26 4.02545e+07 1.67958e+08 7.59621e+07 1.38809e+07 0 1.37421e+08 0 1.67958e+08 1.37421e+08 7.59621e+07 1.38809e+07 -1.21049e-26 8.22827e-25 -0.00569148 0.00373018 0.127949
56 2 1 -0.50572 0.21376 -0.000858688 0.000721656 5.19959e+07 2.16949e+08 9.81187e+07 1.79296e+07 0 1.77503e+08 0 2.16949e+08 1.77503e+08 9.81187e+07 1.79296e+07 0.000587908 0.000788004 -0.00223678 0.00163032 0.110068
59 2 2 -0.714758 0.196164 -0.00120508 0.000673092 1.97649e+07 8.24675e+07 3.72973e+07 6.8155e+06 0 6.74734e+07 0 8.24675e+07 6.74734e+07 3.72973e+07 6.8155e+06 0.00326569 -0.000799303 -0.00417225 0.00402401 0.110532
51 3 0 -0.409498 0.436095 -0.00074423 0.00201195 1.36714e+07 5.70429e+07 2.57986e+07 4.71429e+06 0 4.66715e+07 0 5.70429e+07 4.66715e+07 2.57986e+07 4.71429e+06 0.002862 0.00372281 0.00370968 0.00870647 0.0963635
48 3 1 -0.562327 0.610563 -0.000893617 0.00310366 1.43973e+07 6.00714e+07 2.71683e+07 4.96457e+06 0 4.91493e+07 0 6.00714e+07 4.91493e+07 2.71683e+07 4.96457e+06 0.00173693 -0.00760873 0.00265272 0.00946904 0.0889452
54 3 2 -0.645574 0.400599 -0.00163132 0.0015814 1.31596e+07 5.49073e+07 2.48328e+07 4.53779e+06 0 4.49242e+07 0 5.49073e+07 4.49242e+07 2.48328e+07 4.53779e+06 0.00578989 0.00451852 0.00138998 0.00625637 0.0982182
50 4 0 -0.296464 0.223124 -0.000597125 0.00117269 2.37353e+07 9.90335e+07 4.47896e+07 8.18459e+06 0 8.10274e+07 0 9.90335e+07 8.10274e+07 4.47896e+07 8.18459e+06 0.00209317 0.00360239 -0.00144492 0.00479307 0.109776
51 4 1 -0.409498 0.436095 -0.00074423 0.00201195 1.36714e+07 5.70429e+07 2.57986e+07 4.71429e+06 0 4.66715e+07 0 5.70429e+07 4.66715e+07 2.57986e+07 4.71429e+06 0.002862 0.00372281 0.00370968 0.00870647 0.0963635
56 4 2 -0.50572 0.21376 -0.000858688 0.000721656 5.19959e+07 2.16949e+08 9.81187e+07 1.79296e+07 0 1.77503e+08 0 2.16949e+08 1.77503e+08 9.81187e+07 1.79296e+07 0.000587908 0.000788004 -0.00223678 0.00163032 0.110068
55 5 0 -0.4 1.56194e-24 -1.3066e-27 3.89408e-26 3.94495e+07 1.646e+08 7.4443e+07 1.36033e+07 0 1.34673e+08 0 1.646e+08 1.34673e+08 7.4443e+07 1.36033e+07 -9.4801e-26 6.58138e-25 -0.00487877 0.00404687 0.128709
50 5 1 -0.296464 0.223124 -0.000597125 0.00117269 2.37353e+07 9.90335e+07 4.47896e+07 8.18459e+06 0 8.10274e+07 0 9.90335e+07 8.10274e+07 4.47896e+07 8.18459e+06 0.00209317 0.00360239 -0.00144492 0.00479307 0.109776
56 5 2 -0.50572 0.21376 -0.000858688 0.000721656 5.19959e+07 2.16949e+08 9.81187e+07 1.79296e+07 0 1.77503e+08 0 2.16949e+08 1.77503e+08 9.81187e+07 1.79296e+07 0.000587908 0.000788004 -0.00223678 0.00163032 0.110068
43 6 0 -0.0902301 0.224968 -0.000220585 0.00161536 2.6965e+07 1.12509e+08 5.08842e+07 9.29827e+06 0 9.20529e+07 0 1.12509e+08 9.20529e+07 5.08842e+07 9.29827e+06 0.00156262 0.00416391 0.0016211 0.00549818 0.10986
44 6 1 -0.175751 0.443836 1.93793e-05 0.00267495 1.68111e+07 7.0143e+07 3.17234e+07 5.79694e+06 0 5.73897e+07 0 7.0143e+07 5.73897e+07 3.17234e+07 5.79694e+06 0.00289807 0.00163854 0.00231467 0.00645154 0.0960165
50 6 2 -0.296464 0.223124 -0.000597125 0.00117269 2.37353e+07 9.90335e+07 4.47896e+07 8.18459e+06 0 8.10274e+07 0 9.90335e+07 8.10274e+07 4.47896e+07 8.18459e+06 0.00209317 0.00360239 -0.00144492 0.00479307 0.109776
44 7 0 -0.175751 0.443836 1.93793e-05 0.00267495 1.68111e+07 7.0143e+07 3.17234e+07 5.79694e+06 0 5.73897e+07 0 7.0143e+07 5.73897e+07 3.17234e+07 5.79694e+06 0.00289807 0.00163854 0.00231467 0.00645154 0.0960165
45 7 1 -0.310184 0.676507 -0.00027048 0.00355384 4.03932e+07 1.68537e+08 7.62237e+07 1.39287e+07 0 1.37894e+08 0 1.68537e+08 1.37894e+08 7.62237e+07 1.39287e+07 0.0016895 0.00194725 -0.000847764 0.00288324 0.0860323
51 7 2 -0.409498 0.436095 -0.00074423 0.00201195 1.36714e+07 5.70429e+07 2.57986e+07 4.71429e+06 0 4.66715e+07 0 5.70429e+07 4.66715e+07 2.57986e+07 4.71429e+06 0.002862 0.00372281 0.00370968 0.00870647 0.0963635
57 8 0 -1.07097 0.473675 -0.00376866 0.00158686 1.26483e+07 5.27738e+07 2.38679e+07 4.36147e+06 0 4.31786e+07 0 5.27738e+07 4.31786e+07 2.38679e+07 4.36147e+06 0.00237829 -0.00244371 -0.00261914 0.0117955 0.0964041
58 8 1 -0.883234 0.352912 -0.00231875 0.001024 3.85108e+07 1.60683e+08 7.26716e+07 1.32796e+07 0 1.31468e+08 0 1.60683e+08 1.31468e+08 7.26716e+07 1.32796e+07 0.0012773 0.00194747 -0.00584725 5.27971e-06 0.100459
53 8 2 -0.811872 0.558433 -0.00265617 0.00278437 1.61498e+06 6.73835e+06 3.04753e+06 556889 0 5.5132e+06 0 6.73835e+06 5.5132e+06 3.04753e+06 556889 0.011117 0.00435849 0.00343717 0.01834 0.0917809
