Index_Vertex nbTriangle nbInTr x y ux uy Elast AR BR IR GR ER FR A1 A2 B12 C3 Defxx Defxy Defyx Defyy Density 
74 0 0 2.29418 0.50845 0.0109683 0.00834169 8.54004e+06 3.56326e+07 1.61154e+07 2.94484e+06 0 2.91539e+07 0 3.56326e+07 2.91539e+07 1.61154e+07 2.94484e+06 0.00758919 0.00182382 0.00309124 0.0119681 0.0108393
93 0 1 2.18007 0.780604 0.0112244 0.0109066 1.02245e+07 4.26607e+07 1.9294e+07 3.52568e+06 0 3.49042e+07 0 4.26607e+07 3.49042e+07 1.9294e+07 3.52568e+06 0.00610869 0.00338832 0.00518085 0.00867188 0.0103035
94 0 2 1.91918 0.694088 0.00932441 0.00885896 1.43464e+07 5.9859e+07 2.70722e+07 4.94702e+06 0 4.89755e+07 0 5.9859e+07 4.89755e+07 2.70722e+07 4.94702e+06 0.0044079 0.00502554 0.00343275 0.00744103 0.0125855
50 1 0 2.30332 0.141074 0.00983338 0.0036776 8.22969e+06 3.43377e+07 1.55298e+07 2.83782e+06 0 2.80945e+07 0 3.43377e+07 2.80945e+07 1.55298e+07 2.83782e+06 0.00814232 -0.00422345 0.00237953 0.0128876 0.0118824
74 1 1 2.29418 0.50845 0.0109683 0.00834169 8.54004e+06 3.56326e+07 1.61154e+07 2.94484e+06 0 2.91539e+07 0 3.56326e+07 2.91539e+07 1.61154e+07 2.94484e+06 0.00758919 0.00182382 0.00309124 0.0119681 0.0108393
72 1 2 2.00479 0.372103 0.00856836 0.00654765 1.2295e+07 5.12999e+07 2.32012e+07 4.23966e+06 0 4.19726e+07 0 5.12999e+07 4.19726e+07 2.32012e+07 4.23966e+06 0.00568158 0.000931588 0.00394616 0.00849961 0.0134908
75 2 0 2.63389 0.47809 0.0130511 0.00698293 1.19237e+07 4.97505e+07 2.25005e+07 4.11161e+06 0 4.0705e+07 0 4.97505e+07 4.0705e+07 2.25005e+07 4.11161e+06 0.00595832 -0.00847875 -0.000957542 0.0078659 0.00984164
97 2 1 2.44084 0.868136 0.0126009 0.011002 2.28521e+07 9.53483e+07 4.31229e+07 7.88003e+06 0 7.80123e+07 0 9.53483e+07 7.80123e+07 4.31229e+07 7.88003e+06 0.0024561 -0.00745568 0.000754096 0.0056258 0.00882865
74 2 2 2.29418 0.50845 0.0109683 0.00834169 8.54004e+06 3.56326e+07 1.61154e+07 2.94484e+06 0 2.91539e+07 0 3.56326e+07 2.91539e+07 1.61154e+07 2.94484e+06 0.00758919 0.00182382 0.00309124 0.0119681 0.0108393
171 3 0 1.08297 2.17613 0.00731507 0.0241013 4.97325e+06 2.07504e+07 9.38474e+06 1.71491e+06 0 1.69776e+07 0 2.07504e+07 1.69776e+07 9.38474e+06 1.71491e+06 0.0084547 0.0113593 0.00773396 0.0109539 0.00646674
169 3 1 1.32358 1.884 0.00884129 0.019487 6.47703e+06 2.70249e+07 1.22225e+07 2.23346e+06 0 2.21112e+07 0 2.70249e+07 2.21112e+07 1.22225e+07 2.23346e+06 0.0054364 0.00778095 0.00295228 0.0232313 0.00766107
191 3 2 1.43338 2.25218 0.0092354 0.0236114 2.03747e+07 8.50119e+07 3.84481e+07 7.02577e+06 0 6.95552e+07 0 8.50119e+07 6.95552e+07 3.84481e+07 7.02577e+06 0.00226895 -0.0102331 -0.00232603 0.00630042 0.00550966
173 4 0 0.519881 2.39326 0.000592064 0.0263369 3.52678e+06 1.47152e+07 6.6552e+06 1.21613e+06 0 1.20397e+07 0 1.47152e+07 1.20397e+07 6.6552e+06 1.21613e+06 0.00750663 -0.0136967 -0.0163168 0.0319819 0.00596329
151 4 1 0.497113 2.10176 0.00288735 0.0218185 1.67424e+07 6.98562e+07 3.15937e+07 5.77324e+06 0 5.71551e+07 0 6.98562e+07 5.71551e+07 3.15937e+07 5.77324e+06 0.000250501 0.00245401 -0.00095108 0.00799153 0.0078105
170 4 2 0.763266 2.14304 0.00417967 0.0215493 1.43895e+07 6.00389e+07 2.71536e+07 4.96189e+06 0 4.91228e+07 0 6.00389e+07 4.91228e+07 2.71536e+07 4.96189e+06 0.00344807 -0.00178885 0.0021098 0.00553031 0.00716998
196 5 0 0.527219 2.74453 -0.000118476 0.031236 1.85398e+07 7.73557e+07 3.49854e+07 6.39303e+06 0 6.3291e+07 0 7.73557e+07 6.3291e+07 3.49854e+07 6.39303e+06 0.00362119 -0.00873707 0.00481947 0.00661048 0.00440232
173 5 1 0.519881 2.39326 0.000592064 0.0263369 3.52678e+06 1.47152e+07 6.6552e+06 1.21613e+06 0 1.20397e+07 0 1.47152e+07 1.20397e+07 6.6552e+06 1.21613e+06 0.00750663 -0.0136967 -0.0163168 0.0319819 0.00596329
194 5 2 0.861475 2.53203 0.00528931 0.0261825 1.18904e+06 4.96117e+06 2.24378e+06 410014 0 4.05914e+06 0 4.96117e+06 4.05914e+06 2.24378e+06 410014 0.0152988 0.00732882 -0.0028816 0.0084949 0.00501352
196 6 0 0.527219 2.74453 -0.000118476 0.031236 1.85398e+07 7.73557e+07 3.49854e+07 6.39303e+06 0 6.3291e+07 0 7.73557e+07 6.3291e+07 3.49854e+07 6.39303e+06 0.00362119 -0.00873707 0.00481947 0.00661048 0.00440232
174 6 1 0.217198 2.54128 -0.00242214 0.0298569 1.19517e+07 4.98675e+07 2.25534e+07 4.12129e+06 0 4.08007e+07 0 4.98675e+07 4.08007e+07 2.25534e+07 4.12129e+06 0.00729555 0.00926826 0.00178209 0.00662048 0.00538508
173 6 2 0.519881 2.39326 0.000592064 0.0263369 3.52678e+06 1.47152e+07 6.6552e+06 1.21613e+06 0 1.20397e+07 0 1.47152e+07 1.20397e+07 6.6552e+06 1.21613e+06 0.00750663 -0.0136967 -0.0163168 0.0319819 0.00596329
149 7 0 0.932797 1.82539 0.00559343 0.0177267 4.87065e+06 2.03224e+07 9.19114e+06 1.67953e+06 0 1.66274e+07 0 2.03224e+07 1.66274e+07 9.19114e+06 1.67953e+06 0.0116477 -0.00772851 -0.00295451 0.0134581 0.00915186
147 7 1 1.16114 1.51435 0.00682594 0.0152344 2.697e+07 1.1253e+08 5.08937e+07 9.30001e+06 0 9.20701e+07 0 1.1253e+08 9.20701e+07 5.08937e+07 9.30001e+06 0.00190296 -0.0011806 0.000135753 0.00207913 0.0111281
169 7 2 1.32358 1.884 0.00884129 0.019487 6.47703e+06 2.70249e+07 1.22225e+07 2.23346e+06 0 2.21112e+07 0 2.70249e+07 2.21112e+07 1.22225e+07 2.23346e+06 0.0054364 0.00778095 0.00295228 0.0232313 0.00766107
