SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	2	0.025	1.	20.0982	2.24198
2	2	0.025	1.	17.7543	2.28002
3	2	0.025	1.	19.9405	2.16823
4	2	0.025	2.	6.27679	2.74052
5	2	0.025	2.	7.51891	2.2433
6	2	0.025	2.	7.04075	2.39355
7	2	0.025	10.	2.00151	2.72002
8	2	0.025	10.	1.89511	2.63841
9	2	0.025	10.	1.64364	3.24811
10	2	0.05	1.	1.63462	3.83951
11	2	0.05	1.	1.6599	3.53105
12	2	0.05	1.	1.63398	3.88746
13	2	0.05	2.	0.510318	4.19375
14	2	0.05	2.	0.536932	3.97057
15	2	0.05	2.	0.569319	4.06156
16	2	0.05	10.	0.0381219	4.24491
17	2	0.05	10.	0.0498216	4.29164
18	2	0.05	10.	0.0703019	4.23856
19	2	0.1	1.	0.0246018	4.92829
20	2	0.1	1.	0.0310552	4.70966
21	2	0.1	1.	0.0204188	4.71521
22	2	0.1	2.	0.0224813	4.98918
23	2	0.1	2.	0.0157622	5.08835
24	2	0.1	2.	0.0119747	4.96646
25	2	0.1	10.	0.131848	5.18033
26	2	0.1	10.	0.138117	5.22225
27	2	0.1	10.	0.108445	5.17069
34	4	0.025	10.	5.04384	0.450133
35	4	0.025	10.	4.51937	0.882805
36	4	0.025	10.	4.83187	0.585994
37	4	0.05	1.	4.66831	1.58747
38	4	0.05	1.	4.69877	1.48597
39	4	0.05	1.	4.73529	1.44628
40	4	0.05	2.	1.23079	1.97016
41	4	0.05	2.	1.35486	2.02805
42	4	0.05	2.	1.40535	1.79607
43	4	0.05	10.	0.262376	2.32342
44	4	0.05	10.	0.245393	2.12809
45	4	0.05	10.	0.246711	2.23254
46	4	0.1	1.	0.0846034	2.99322
47	4	0.1	1.	0.0778811	3.12444
48	4	0.1	1.	0.0585602	3.17223
49	4	0.1	2.	0.00266871	3.33086
50	4	0.1	2.	1.19029e-05	3.07919
51	4	0.1	2.	0.000487802	3.24792
52	4	0.1	10.	0.0506559	3.26702
53	4	0.1	10.	0.0631164	3.48756
54	4	0.1	10.	0.051441	3.31835
67	6	0.05	2.	3.37888	0.958304
68	6	0.05	2.	3.28532	0.6606
69	6	0.05	2.	2.7564	1.33233
70	6	0.05	10.	0.736333	0.786922
71	6	0.05	10.	0.640304	1.37229
72	6	0.05	10.	0.811596	0.645779
73	6	0.1	1.	0.456824	1.70323
74	6	0.1	1.	0.436152	1.70813
75	6	0.1	1.	0.477794	1.69423
76	6	0.1	2.	0.0366396	1.77172
77	6	0.1	2.	0.0446861	1.97378
78	6	0.1	2.	0.0634792	1.77499
79	6	0.1	10.	0.00693613	1.92565
80	6	0.1	10.	0.0146766	2.10151
81	6	0.1	10.	0.0128957	1.95906
