SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	0.01	2	5.	1.50673	1.67498
2	0.01	2	5.	1.42531	1.73249
3	0.01	2	10.	2.4016	0.992347
7	0.01	4	5.	1.704	1.41136
14	0.01	20	5.	2.22524	1.23321
19	0.03	2	5.	0.100641	2.46268
20	0.03	2	5.	0.148825	2.53582
21	0.03	2	10.	0.0534041	1.72394
22	0.03	2	10.	0.0471818	1.75755
23	0.03	2	50.	0.0893256	1.29731
24	0.03	2	50.	0.0384226	2.91641
25	0.03	4	5.	0.199127	1.82895
26	0.03	4	5.	0.174513	1.96154
27	0.03	4	10.	0.179532	1.19072
28	0.03	4	10.	0.205339	1.33611
29	0.03	4	50.	0.0017257	5.38227
30	0.03	4	50.	0.000534977	5.4342
31	0.03	20	5.	0.338076	1.66142
32	0.03	20	5.	0.374567	1.44804
33	0.03	20	10.	0.0574089	4.43459
34	0.03	20	10.	0.375099	3.1919
37	0.1	2	5.	0.0074627	3.36681
38	0.1	2	5.	0.00518088	3.58317
39	0.1	2	10.	0.132105	3.43309
40	0.1	2	10.	0.135549	3.57856
41	0.1	2	50.	0.503191	3.41894
42	0.1	2	50.	0.50535	3.39091
43	0.1	4	5.	0.0221175	3.52695
44	0.1	4	5.	0.0186642	3.47451
45	0.1	4	10.	0.177798	3.70749
46	0.1	4	10.	0.186445	3.63929
47	0.1	4	50.	0.56549	3.60272
48	0.1	4	50.	0.588314	3.79141
49	0.1	20	5.	0.0231459	3.38995
50	0.1	20	5.	0.0217564	3.33496
51	0.1	20	10.	0.196833	3.59212
52	0.1	20	10.	0.177379	3.55898
53	0.1	20	50.	0.601689	3.46412
54	0.1	20	50.	0.589448	3.3741
