SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	0.02	1.5	7	0.137072	2.0243
2	0.02	1.5	7	0.139329	2.06643
3	0.02	1.5	10	0.129886	1.76917
4	0.02	1.5	10	0.141306	1.6214
5	0.02	1.5	15	0.119175	1.70533
6	0.02	1.5	15	0.167929	1.33663
7	0.02	2	7	0.171209	1.82643
8	0.02	2	7	0.171958	1.85639
9	0.02	2	10	0.22776	1.45317
10	0.02	2	10	0.201707	1.5583
11	0.02	2	15	0.331867	1.32731
12	0.02	2	15	0.201038	2.07438
13	0.02	3	7	0.195939	1.88048
14	0.02	3	7	0.226985	1.88065
15	0.02	3	10	0.414809	1.13013
16	0.02	3	10	0.314952	1.93
17	0.02	3	15	0.611621	1.81172
18	0.02	3	15	0.652738	0.924601
19	0.03	1.5	7	0.000705258	2.6511
20	0.03	1.5	7	0.00934939	2.28601
21	0.03	1.5	10	0.00147281	2.12065
22	0.03	1.5	10	0.000400099	2.17098
23	0.03	1.5	15	0.000653123	1.95854
24	0.03	1.5	15	0.000114397	1.86334
25	0.03	2	7	0.0149188	2.28992
26	0.03	2	7	0.00819163	2.11622
27	0.03	2	10	0.00343397	2.0846
28	0.03	2	10	0.00703572	1.73153
29	0.03	2	15	0.0119818	1.60742
30	0.03	2	15	0.00827494	1.69195
31	0.03	3	7	0.0326929	1.65825
32	0.03	3	7	0.032333	1.7951
33	0.03	3	10	0.0390362	1.27289
34	0.03	3	10	0.0556438	1.27301
35	0.03	3	15	0.0180492	2.20154
36	0.03	3	15	0.0532916	1.61798
37	0.05	1.5	7	0.0189251	2.9093
38	0.05	1.5	7	0.0164384	3.01261
39	0.05	1.5	10	0.0543967	2.65828
40	0.05	1.5	10	0.059078	2.90237
41	0.05	1.5	15	0.107429	2.62977
42	0.05	1.5	15	0.0935292	2.5945
43	0.05	2	7	0.0346331	2.95496
44	0.05	2	7	0.0343389	2.79634
45	0.05	2	10	0.0766481	2.91108
46	0.05	2	10	0.0673612	2.4802
47	0.05	2	15	0.10231	2.4363
48	0.05	2	15	0.108108	2.43466
49	0.05	3	7	0.0412128	2.79959
50	0.05	3	7	0.0361371	2.68805
51	0.05	3	10	0.0646384	2.35366
52	0.05	3	10	0.0603659	2.50497
53	0.05	3	15	0.101647	2.13313
54	0.05	3	15	0.0933264	2.03439
