SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	4.	1	1	0.00893897	2.68444
2	4.	1	1	0.0140149	2.63531
3	5.	1	1	0.0492427	1.88933
4	5.	1	1	0.0519212	1.92841
5	6.	1	1	0.0935691	1.82278
6	6.	1	1	0.143536	1.38271
7	7.	1	1	0.166229	1.64107
8	7.	1	1	0.218553	1.15477
9	8.	1	1	0.297381	0.965284
10	8.	1	1	0.359359	0.753416
11	4.	1	1	0.0155672	2.57412
12	4.	1	1	0.00542035	2.75225
13	5.	1	1	0.0482562	2.10964
14	5.	1	1	0.0496397	1.89297
15	6.	1	1	0.122661	1.37403
16	6.	1	1	0.0861637	1.68129
17	7.	1	1	0.169964	1.41483
18	7.	1	1	0.188243	1.34134
19	8.	1	1	0.31446	1.08158
20	8.	1	1	0.395231	0.519893
