SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
15	2	0.05	0.0	3.43647	3.09302
16	2	0.05	0.0	3.13751	3.37465
17	2	0.05	0.0	3.4775	3.13324
18	2	0.05	0.5	3.16753	3.17009
19	2	0.05	0.5	2.52097	3.72007
20	2	0.05	0.5	2.77825	3.37506
21	2	0.05	1.0	2.40482	3.40839
22	2	0.05	1.0	2.06357	3.5409
23	2	0.05	1.0	2.27788	3.73311
24	2	0.1	0.0	0.105414	4.52171
25	2	0.1	0.0	0.0551687	4.74708
26	2	0.1	0.0	0.0505522	4.6089
27	2	0.1	0.5	0.0855814	4.79802
28	2	0.1	0.5	0.0603123	4.60955
29	2	0.1	0.5	0.0886743	4.58037
30	2	0.1	1.0	0.0535037	4.4766
31	2	0.1	1.0	0.0724088	4.39611
32	2	0.1	1.0	0.0423135	4.75683
33	2	0.2	0.0	0.117029	5.21795
34	2	0.2	0.0	0.093555	5.16741
35	2	0.2	0.0	0.0930496	5.40031
36	2	0.2	0.5	0.104336	5.10571
37	2	0.2	0.5	0.0908717	5.04317
38	2	0.2	0.5	0.115698	5.13764
39	2	0.2	1.0	0.105447	5.12797
40	2	0.2	1.0	0.108446	5.13448
41	2	0.2	1.0	0.0584909	5.10887
42	4	0.05	0.0	6.47483	1.81517
43	4	0.05	0.0	6.30316	1.19182
44	4	0.05	0.0	6.88217	1.08403
45	4	0.05	0.5	5.97531	1.61504
46	4	0.05	0.5	5.59747	1.22166
47	4	0.05	0.5	5.99997	1.45554
48	4	0.05	1.0	5.15575	1.28741
49	4	0.05	1.0	4.95661	1.42655
50	4	0.05	1.0	6.50208	1.18285
51	4	0.1	0.0	0.201881	2.54349
52	4	0.1	0.0	0.193344	2.3901
53	4	0.1	0.0	0.118077	2.64113
54	4	0.1	0.5	0.176821	2.63475
55	4	0.1	0.5	0.177446	2.62569
56	4	0.1	0.5	0.148714	2.68548
57	4	0.1	1.0	0.126898	2.7261
58	4	0.1	1.0	0.196812	2.42643
59	4	0.1	1.0	0.169558	2.50677
60	4	0.2	0.0	0.0994141	3.5878
61	4	0.2	0.0	0.0964581	3.5444
62	4	0.2	0.0	0.108319	3.82005
63	4	0.2	0.5	0.120404	3.73079
64	4	0.2	0.5	0.0979083	3.58777
65	4	0.2	0.5	0.110629	3.38701
66	4	0.2	1.0	0.126868	3.66173
67	4	0.2	1.0	0.0889066	3.54173
68	4	0.2	1.0	0.13014	3.84873
78	6	0.1	0.0	0.688748	1.53729
79	6	0.1	0.0	0.67631	1.18893
80	6	0.1	0.0	0.75468	1.14911
81	6	0.1	0.5	0.582309	1.27163
82	6	0.1	0.5	0.809374	1.11189
