frontArrHeightIni	fAspeed	fADiffusionFactor
2	0.5	0.0
2	0.5	0.5
2	0.5	1.0
2	1.0	0.0
2	1.0	0.5
2	1.0	1.0
4	0.5	0.0
4	0.5	0.5
4	0.5	1.0
4	1.0	0.0
4	1.0	0.5
4	1.0	1.0
6	0.5	0.0
6	0.5	0.5
6	0.5	1.0
6	1.0	0.0
6	1.0	0.5
6	1.0	1.0
8	0.05	0.0
8	0.05	0.5
8	0.05	1.0
8	0.1	0.0
8	0.1	0.5
8	0.1	1.0
8	0.2	0.0
8	0.2	0.5
8	0.2	1.0
10	0.05	0.0
10	0.05	0.5
10	0.05	1.0
10	0.1	0.0
10	0.1	0.5
10	0.1	1.0
10	0.2	0.0
10	0.2	0.5
10	0.2	1.0
8	0.5	0.0
8	0.5	0.5
8	0.5	1.0
8	1.0	0.0
8	1.0	0.5
8	1.0	1.0
10	0.5	0.0
10	0.5	0.5
10	0.5	1.0
10	1.0	0.0
10	1.0	0.5
10	1.0	1.0
