SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	0.05	3.	5.	0.154374	6.24288
2	0.05	3.	10.	0.182603	6.43403
3	0.05	3.	20.	0.135138	4.75657
4	0.05	6.	5.	0.125254	6.31768
5	0.05	6.	10.	0.0484508	5.20834
6	0.05	6.	20.	0.388734	4.03371
7	0.05	20.	5.	0.598721	3.53834
8	0.05	20.	10.	0.0291784	5.87667
9	0.05	20.	20.	0.0382525	6.06197
10	0.1	3.	5.	0.148415	6.40039
11	0.1	3.	10.	0.013656	5.50841
12	0.1	3.	20.	0.20673	4.71646
13	0.1	6.	5.	0.0185073	5.95658
14	0.1	6.	10.	0.0931181	6.16285
15	0.1	6.	20.	0.038519	5.24816
16	0.1	20.	5.	0.0511823	5.14732
17	0.1	20.	10.	0.0949757	6.19647
18	0.1	20.	20.	0.460719	4.07739
19	0.2	3.	5.	0.000262872	5.70148
20	0.2	3.	10.	0.0592671	5.01289
21	0.2	3.	20.	0.0255161	5.36849
22	0.2	6.	5.	0.00208852	5.71504
23	0.2	6.	10.	0.284596	4.38686
24	0.2	6.	20.	0.00367193	5.40768
25	0.2	20.	5.	0.00406211	5.81237
26	0.2	20.	10.	0.697296	3.37311
27	0.2	20.	20.	0.000510981	5.65001
