SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	0.01	1.	1.	0.0540568	2.91316
2	0.01	1.	1.	0.0561534	3.00245
3	0.01	1.	1.	0.024978	3.25474
4	0.02	1.	1.	0.0299729	2.42448
5	0.02	1.	1.	0.0319334	2.31738
6	0.02	1.	1.	0.0638181	2.37339
7	0.03	1.	1.	0.0590046	2.67311
8	0.03	1.	1.	0.0789784	2.82384
9	0.03	1.	1.	0.0327175	2.72072
10	0.04	1.	1.	0.186788	2.66279
11	0.04	1.	1.	0.248229	2.7364
12	0.04	1.	1.	0.203405	2.70729
13	0.05	1.	1.	0.433665	3.01864
14	0.05	1.	1.	0.429871	2.86925
15	0.05	1.	1.	0.415364	2.84553
