SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	0.01	1.	1.	0.246063	2.82074
2	0.01	1.	1.	0.161603	2.50318
3	0.01	1.	1.	0.109489	2.62623
4	0.01	1.	1.	0.109458	2.48789
5	0.02	1.	1.	0.105886	2.48719
6	0.02	1.	1.	0.201461	2.89397
7	0.02	1.	1.	0.214746	2.6213
8	0.02	1.	1.	0.169167	2.39368
9	0.03	1.	1.	0.121809	2.44947
10	0.03	1.	1.	0.100287	2.24623
11	0.03	1.	1.	0.202902	2.3862
12	0.03	1.	1.	0.0799698	2.17768
13	0.04	1.	1.	0.0971435	2.0815
14	0.04	1.	1.	0.114942	2.22789
15	0.04	1.	1.	0.102712	2.13824
16	0.04	1.	1.	0.0981028	2.30523
17	0.05	1.	1.	0.13928	2.21055
18	0.05	1.	1.	0.0969039	2.48253
19	0.05	1.	1.	0.0773208	2.19614
20	0.05	1.	1.	0.118761	2.04808
