SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	0.01	0.05	1	0.931795	0.0310322
2	0.01	0.05	1	0.913953	0.0913378
3	0.01	0.05	1	0.904621	0.197076
4	0.02	0.05	1	0.124339	0.310681
5	0.02	0.05	1	0.159581	0.153541
6	0.02	0.05	1	0.155526	0.0783719
7	0.03	0.05	1	0.0114331	0.228285
8	0.03	0.05	1	0.0140028	0.359341
9	0.03	0.05	1	0.00673777	0.385453
10	0.04	0.05	1	0.00843791	0.497583
11	0.04	0.05	1	0.00271105	0.38017
12	0.04	0.05	1	0.00775709	0.478071
13	0.05	0.05	1	0.0414582	0.760432
14	0.05	0.05	1	0.0302848	0.714423
15	0.05	0.05	1	0.0257299	0.687432
