SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	0.1	0.03	1.	0.0152848	0.265782
2	0.1	0.01	1.	0.00819071	0.349164
3	0.1	0.003	1.	0.00474461	0.965178
4	0.1	0.001	1.	0.0100042	0.370569
5	0.2	0.03	1.	0.00912606	0.265733
6	0.2	0.01	1.	0.0108005	0.368464
7	0.2	0.003	1.	0.0114331	0.228285
8	0.2	0.001	1.	0.0123718	0.217701
9	0.4	0.03	1.	0.00673777	0.385453
10	0.4	0.01	1.	0.00538302	0.268946
11	0.4	0.003	1.	0.0131019	0.31382
12	0.4	0.001	1.	0.00596022	0.311845
101	0.1	0.0003	1.	0.0115465	0.251573
102	0.1	0.0001	1.	0.0132593	0.298523
103	0.1	0.00003	1.	0.00548005	0.687379
104	0.1	0.00001	1.	0.0159738	0.239396
105	0.2	0.0003	1.	0.00731015	0.37861
106	0.2	0.0001	1.	0.00694528	0.354216
107	0.2	0.00003	1.	0.0134709	0.178184
108	0.2	0.00001	1.	0.0179368	0.279773
109	0.4	0.0003	1.	0.00401367	0.416316
110	0.4	0.0001	1.	0.00872507	0.458686
111	0.4	0.00003	1.	0.00926312	0.272368
112	0.4	0.00001	1.	0.00708331	0.364643
