Short Name              ; Long Name               ; Type; Color ; Min colorScale - only S; Max colorScale - only S; Comments
Length                  ; Length                  ; O   ; black ; ; ; over time graph
Width                   ; Width                   ; O   ; black ; ; ; over time graph
Area                    ; Area                    ; O   ; black ; ; ; over time graph
Perim                   ; Perimeter               ; O   ; black ; ; ; over time graph
Elast                   ; Youngs_mod              ; S   ; Greys ; ; ;
Triangles               ; Mesh                    ; M   ; black ; ; ;
BoundaryCoords          ; Boundaries              ; M   ; black ; ; ;
GrTrArea                ; Area_growth_tr          ; T   ; jet   ; ; ; triangle based
GrArea                  ; Area_growth_vertice     ; S   ; jet   ; ; ; vertice based (more smooth)
TrContour               ; TrContour               ; S   ; Greys ; 0 ; 2 ; contour
